# mapping_set_id: CDISC_mapping
# mapping_set_description: A manual mapping of the CDISC SDTM to a set of common elements.
# license: CC-BY-4.0
# curie_map:
#     COMMSET: https://example.org/standardsharmonization/commset/
#     CDISC: https://example.org/standardsharmonization/cdisc/
#     skos: http://www.w3.org/2004/02/skos/core#
#     orcid: https://orcid.org/
# mapping_date: 2026-05-28
# creator_id: orcid:0000-0002-8142-1856
subject_id	predicate_id	object_id	mapping_justification	subject_label	example	object_category	object_label	comment	example_	confidence
COMMSET:0001	skos:exactMatch	CDISC:0001	semapv:ManualMappingCuration	Treatment Start Date	2024-05-15 00:00:00	EX	EXSTDTC	"Correct; Format for Date/Time is ISO 8601; 
See SDTMIG p. 38-39."	YYYY-MM-DDThh:mm:ss(.n+)?(((+|-)hh:mm)|Z)?	1.0
COMMSET:0002	skos:exactMatch	CDISC:0002	semapv:ManualMappingCuration	Treatment End Date	2024-07-03 00:00:00	EX	EXENDTC	Correct; Format for Date/Time is ISO 8601	2023-12-15T13:14	1.0
COMMSET:0003	skos:exactMatch	CDISC:0003	semapv:ManualMappingCuration	Total Dose Prescribed	60	EC	"ECOSE/ECDOSE + ECDOSU (ECMOOD=""SCHEDULED"")"	Recommend using ECMOOD= SCHEDULED and having another record for ECMOOD for PERFORMED in EC dataset to reflect that planned and completed procedure. See SDTMIG p.118, 119		1.0
COMMSET:0004	skos:exactMatch	CDISC:0004	semapv:ManualMappingCuration	Total Dose Delivered	60	EX	EXDOSE + EXDOSU	EX is showing what was done. 		1.0
COMMSET:0005	skos:exactMatch	CDISC:0005	semapv:ManualMappingCuration	Total Fractions Planned	30	EX	EXDPSREGM/Exposure Intended Dose Regimen	EXDPSREGM/Exposure Intended Dose Regimen	Check CDASHIG, p. 136 in Procedures domain. Since EX is an Interventions domain, the model supports the same variables in EX and PR. See the SDTM p. 12 for the list of variable for the model.	1.0
COMMSET:0006	skos:exactMatch	CDISC:0006	semapv:ManualMappingCuration	Total Fractions Delivered	30	EX	Count EX records or SUPPEX (QNAM=TOTFRAC)	SUPPEXTOTFRC (six character limit… related to SAS)		1.0
COMMSET:0007	skos:exactMatch	CDISC:0007	semapv:ManualMappingCuration	Dose per Fraction	2	EX	EXDOSE per fraction or SUPPEX (QNAM=DOSEFRAC)	SUPPEXDOSPFR (six char limit) - is SUPPEXDOSPFU needed to represent the units?		1.0
COMMSET:0008	skos:exactMatch	CDISC:0008	semapv:ManualMappingCuration	Radiation Modality	Photon	DU	DUTESTCD=RADMOD + DUTEST=Radiation Modality + DUORRES	DUTESTCD=RADMOD; DUTEST=Radiation Modality; DUORRES=Photon	DUORRES=Photon	1.0
COMMSET:0009	skos:exactMatch	CDISC:0009	semapv:ManualMappingCuration	Treatment Technique	IMRT	EX	EXTRT	EXTRT		1.0
COMMSET:0010	skos:exactMatch	CDISC:0010	semapv:ManualMappingCuration	Treatment Site	Lung, Right Upper Lobe	EX	EXLOC + EXLAT	Not sure what +Â means. EXLOC; EXLAT		1.0
COMMSET:0011	skos:exactMatch	CDISC:0011	semapv:ManualMappingCuration	Treatment Intent	Curative	EX	SUPPEX.TRTINT/Treatment Intent	"The CAT variable is not controlled and could be used to differentiate types of treatments.

Recommend SUPPEX.TRTINT /Treatment Intent
Example in Breast Cancer Tab from Br Ca TAUG"		1.0
COMMSET:0012	skos:exactMatch	CDISC:0012	semapv:ManualMappingCuration	Patient ID	MRN-789456	DM	USUBJID			1.0
COMMSET:0013	skos:exactMatch	CDISC:0013	semapv:ManualMappingCuration	Date of Birth	1958-04-23 00:00:00	DM	BRTHDTC			1.0
COMMSET:0014	skos:exactMatch	CDISC:0014	semapv:ManualMappingCuration	Gender	Male	DM	SEX			1.0
COMMSET:0015	skos:exactMatch	CDISC:0015	semapv:ManualMappingCuration	Primary Diagnosis	C34.1	MH	MHTERM / MHDECOD			1.0
COMMSET:0016	skos:exactMatch	CDISC:0016	semapv:ManualMappingCuration	Histology	8140/3	MH	"MHCAT=""HISTOLOGY""; MHTERM"		"Adenocarcinoma, NOS. Generally the display name is used for the MHTERM.
"	1.0
COMMSET:0017	skos:exactMatch	CDISC:0017	semapv:ManualMappingCuration	TNM Stage	T2aN1M0	RS	"RSTESTCD=""TNM""; RSORRES"	"RSTEST=AJCC1-Anatomic Stage; RSTESTCD=AJCC101; RSORRES
https://www.cdisc.org/standards/foundational/qrs/ajcc-tnm-staging-system-7th-edition

See Lunc Ca Tab and the Lung Cancer TAUG."		0.5
COMMSET:0018	skos:exactMatch	CDISC:0018	semapv:ManualMappingCuration	Disease Status	Initial	RS	RECIST	"Could use RSTESTCD-DISSTT; RSTEST=Disease Status; However, it is not controlled so likely will prevent aggregation across studies. Typically the RECIST critier is used: https://www.cdisc.org/standards/foundational/qrs/response-evaluation-criteria-solid-tumors-version-1-1

https://pubmed.ncbi.nlm.nih.gov/19097774/

See Lung Cancer tab.
"		0.5
COMMSET:0019	skos:exactMatch	CDISC:0019	semapv:ManualMappingCuration	Days Interrupted - Toxicity	2	DS	"DSTERM; DSDECOD=""ADVERSEÂ EVENT""; SUPPDS(INTDAYS)"	Not sure what the objective is. It seems to show in Disposition the relationship between the AE and the Interruption. Agree with this.		0.5
COMMSET:0020	skos:exactMatch	CDISC:0020	semapv:ManualMappingCuration	Reason for Interruption	Grade 2 fatigue	DS	DSTERM free text; DSDECOD coded	"Generally, the start and stop date are used. The SUPPEX variable of REASINT/Reason for Interruption can be used to represent this information.

DS domain is used to provide Protocol Milestones, Non-completion and other events using the following Controlled Terminology Codelists:
https://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66727.NCOMPLT
https://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C114118.PROTMLST
https://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C150811.OTHEVENT

Disposition Domain - SDTMIG p. 155
https://www.cdisc.org/standards/foundational/sdtmig/sdtmig-v3-4


"		0.5
COMMSET:0021	skos:exactMatch	CDISC:0021	semapv:ManualMappingCuration	Days Interrupted - Other	1	DS	"DSTERM; DSDECOD=""OTHER"""	"Not sure what concept this is for. Duration of the days interrupted? Reason for the days interrupted with a set valueset and a response of ""other, specify""?"		0.5
